step,train_loss_live,val_loss_ema,waviness_cond_gap,ripple_cond_gap,geometry_cond_gap
0,1.200082,,,,
100,0.181072,,,,
200,0.198874,,,,
300,0.204647,,,,
400,0.186958,,,,
500,0.215242,0.229713,0.00064481,0.00077241,0.01859604
600,0.174910,,,,
700,0.202460,,,,
800,0.156727,,,,
900,0.162657,,,,
1000,0.101916,0.178895,0.00081746,0.00100987,0.02197636
1100,0.183062,,,,
1200,0.140081,,,,
1300,0.131245,,,,
1400,0.113686,,,,
1500,0.187479,0.152318,0.00073440,0.00069627,0.02343440
1600,0.143668,,,,
1700,0.108873,,,,
1800,0.130019,,,,
1900,0.092187,,,,
2000,0.084621,0.134432,0.00027563,0.00029355,0.02405921
2100,0.107966,,,,
2200,0.126126,,,,
2300,0.119445,,,,
2400,0.079459,,,,
2500,0.183128,0.123260,0.00010541,0.00013988,0.02535589
2600,0.163698,,,,
2700,0.199889,,,,
2800,0.130842,,,,
2900,0.073533,,,,
3000,0.148073,0.113953,-0.00003181,0.00004766,0.02656185
3100,0.143965,,,,
3200,0.083070,,,,
3300,0.110930,,,,
3400,0.125557,,,,
3500,0.123305,0.106879,-0.00000531,0.00004321,0.02705530
3600,0.121667,,,,
3700,0.117193,,,,
3800,0.176332,,,,
3900,0.145604,,,,
4000,0.095963,0.101932,-0.00005296,-0.00003363,0.02737313
4100,0.128901,,,,
4200,0.117425,,,,
4300,0.130162,,,,
4400,0.099458,,,,
4500,0.116251,0.098005,0.00000080,-0.00011797,0.02693628
4600,0.106138,,,,
4700,0.081884,,,,
4800,0.141437,,,,
4900,0.130735,,,,
5000,0.133205,0.094516,0.00002295,-0.00005409,0.02690503
5100,0.102712,,,,
5200,0.072244,,,,
5300,0.055083,,,,
5400,0.151684,,,,
5500,0.112882,0.090787,0.00006700,0.00004625,0.02695606
5600,0.114872,,,,
5700,0.087857,,,,
5800,0.143026,,,,
5900,0.100164,,,,
6000,0.118501,0.088294,0.00003200,0.00004064,0.02678135
6100,0.134606,,,,
6200,0.077386,,,,
6300,0.110465,,,,
6400,0.123599,,,,
6500,0.134760,0.085754,0.00003327,0.00007469,0.02709650
6600,0.128015,,,,
6700,0.128460,,,,
6800,0.135558,,,,
6900,0.175766,,,,
7000,0.106195,0.083457,0.00002455,0.00010701,0.02681940
7100,0.100387,,,,
7200,0.083353,,,,
7300,0.095086,,,,
7400,0.135068,,,,
7500,0.118230,0.082269,-0.00000826,0.00006118,0.02688941
7600,0.099576,,,,
